Time,Signal
2024-05-24 18:59:57.378980,1
2024-05-24 18:59:57.395353,1
2024-05-24 18:59:57.412307,0
2024-05-24 18:59:57.427722,0
2024-05-24 18:59:57.445035,1
2024-05-24 18:59:57.462023,1
2024-05-24 18:59:57.478505,0
2024-05-24 18:59:57.494221,0
2024-05-24 18:59:57.510911,1
2024-05-24 18:59:57.527527,0
2024-05-24 18:59:57.544790,0
2024-05-24 18:59:57.561457,1
2024-05-24 18:59:57.578654,1
2024-05-24 18:59:57.596175,0
2024-05-24 18:59:57.611724,0
2024-05-24 18:59:57.628372,1
2024-05-24 18:59:57.644416,0
2024-05-24 18:59:57.670871,0
2024-05-24 18:59:57.692275,1
2024-05-24 18:59:57.709110,1
2024-05-24 18:59:57.723730,0
2024-05-24 18:59:57.741855,0
2024-05-24 18:59:57.757899,1
2024-05-24 18:59:57.774828,1
2024-05-24 18:59:57.791239,0
2024-05-24 18:59:57.807612,1
2024-05-24 18:59:57.825020,1
2024-05-24 18:59:57.841840,0
2024-05-24 18:59:57.858181,0
2024-05-24 18:59:57.874945,1
2024-05-24 18:59:57.890816,1
2024-05-24 18:59:57.908759,0
2024-05-24 18:59:57.923819,1
2024-05-24 18:59:57.941027,1
2024-05-24 18:59:57.958850,0
2024-05-24 18:59:57.973797,0
2024-05-24 18:59:57.991407,1
2024-05-24 18:59:58.008538,1
2024-05-24 18:59:58.024588,0
2024-05-24 18:59:58.042174,1
2024-05-24 18:59:58.058797,1
2024-05-24 18:59:58.074572,0
2024-05-24 18:59:58.090393,0
2024-05-24 18:59:58.107729,1
2024-05-24 18:59:58.124544,1
2024-05-24 18:59:58.141233,0
2024-05-24 18:59:58.157737,0
2024-05-24 18:59:58.173856,1
2024-05-24 18:59:58.191616,1
2024-05-24 18:59:58.207938,0
2024-05-24 18:59:58.224748,0
2024-05-24 18:59:58.240929,1
2024-05-24 18:59:58.258235,1
2024-05-24 18:59:58.274178,0
2024-05-24 18:59:58.291115,0
2024-05-24 18:59:58.307579,1
2024-05-24 18:59:58.324681,0
2024-05-24 18:59:58.340514,0
2024-05-24 18:59:58.357723,1
2024-05-24 18:59:58.374860,1
2024-05-24 18:59:58.390882,0
2024-05-24 18:59:58.407667,0
2024-05-24 18:59:58.424481,1
2024-05-24 18:59:58.441427,0
2024-05-24 18:59:58.457679,0
2024-05-24 18:59:58.474678,1
2024-05-24 18:59:58.491606,1
2024-05-24 18:59:58.508330,0
2024-05-24 18:59:58.524528,0
