Time,Signal
2024-05-24 17:36:15.187932,1
2024-05-24 17:36:15.214238,1
2024-05-24 17:36:15.235642,1
2024-05-24 17:36:15.257249,1
2024-05-24 17:36:15.277601,1
2024-05-24 17:36:15.298749,1
2024-05-24 17:36:15.320221,1
2024-05-24 17:36:15.340405,1
2024-05-24 17:36:15.359916,1
2024-05-24 17:36:15.382848,1
2024-05-24 17:36:15.402672,1
2024-05-24 17:36:15.421802,1
2024-05-24 17:36:15.443452,1
2024-05-24 17:36:15.464549,0
2024-05-24 17:36:15.485043,0
2024-05-24 17:36:15.506025,0
2024-05-24 17:36:15.527506,0
2024-05-24 17:36:15.546561,0
2024-05-24 17:36:15.568821,0
2024-05-24 17:36:15.590455,0
2024-05-24 17:36:15.611054,0
2024-05-24 17:36:15.631634,0
2024-05-24 17:36:15.651734,0
2024-05-24 17:36:15.673788,0
2024-05-24 17:36:15.694395,0
2024-05-24 17:36:15.715597,1
2024-05-24 17:36:15.736808,1
2024-05-24 17:36:15.756297,1
2024-05-24 17:36:15.776355,1
2024-05-24 17:36:15.795971,1
2024-05-24 17:36:15.818826,1
2024-05-24 17:36:15.840326,1
2024-05-24 17:36:15.868691,1
2024-05-24 17:36:15.889351,1
2024-05-24 17:36:15.910098,1
2024-05-24 17:36:15.936326,1
2024-05-24 17:36:15.958187,1
2024-05-24 17:36:15.982223,0
2024-05-24 17:36:16.008018,0
2024-05-24 17:36:16.035768,0
2024-05-24 17:36:16.060716,0
2024-05-24 17:36:16.083126,0
2024-05-24 17:36:16.103806,0
2024-05-24 17:36:16.124607,0
2024-05-24 17:36:16.145570,0
2024-05-24 17:36:16.167306,0
2024-05-24 17:36:16.195492,0
2024-05-24 17:36:16.229016,0
2024-05-24 17:36:16.255575,0
2024-05-24 17:36:16.278185,1
2024-05-24 17:36:16.299283,1
2024-05-24 17:36:16.326433,1
2024-05-24 17:36:16.345895,1
2024-05-24 17:36:16.367041,1
2024-05-24 17:36:16.389169,1
2024-05-24 17:36:16.409600,1
2024-05-24 17:36:16.430819,1
2024-05-24 17:36:16.456739,1
2024-05-24 17:36:16.478994,1
2024-05-24 17:36:16.499100,1
2024-05-24 17:36:16.520512,1
2024-05-24 17:36:16.541413,0
2024-05-24 17:36:16.562491,0
2024-05-24 17:36:16.583394,0
2024-05-24 17:36:16.604031,0
2024-05-24 17:36:16.626211,0
2024-05-24 17:36:16.652560,0
2024-05-24 17:36:16.673616,0
2024-05-24 17:36:16.693967,0
2024-05-24 17:36:16.713081,0
2024-05-24 17:36:16.736036,0
2024-05-24 17:36:16.756707,0
2024-05-24 17:36:16.777245,0
2024-05-24 17:36:16.799273,0
2024-05-24 17:36:16.825673,1
2024-05-24 17:36:16.846368,1
2024-05-24 17:36:16.867990,1
2024-05-24 17:36:16.889378,1
2024-05-24 17:36:16.909445,1
2024-05-24 17:36:16.930660,1
2024-05-24 17:36:16.948713,1
2024-05-24 17:36:16.970657,1
2024-05-24 17:36:16.991144,1
2024-05-24 17:36:17.013689,1
2024-05-24 17:36:17.041416,1
2024-05-24 17:36:17.060041,1
2024-05-24 17:36:17.082028,0
2024-05-24 17:36:17.105295,0
2024-05-24 17:36:17.132387,0
2024-05-24 17:36:17.157890,0
2024-05-24 17:36:17.179255,0
2024-05-24 17:36:17.198727,0
2024-05-24 17:36:17.221266,0
2024-05-24 17:36:17.242384,0
2024-05-24 17:36:17.264006,0
2024-05-24 17:36:17.284729,0
2024-05-24 17:36:17.305579,0
2024-05-24 17:36:17.326233,0
2024-05-24 17:36:17.347292,1
2024-05-24 17:36:17.375098,1
2024-05-24 17:36:17.396168,1
2024-05-24 17:36:17.425213,1
2024-05-24 17:36:17.451148,1
2024-05-24 17:36:17.471501,1
2024-05-24 17:36:17.493611,1
2024-05-24 17:36:17.518481,1
2024-05-24 17:36:17.541219,1
2024-05-24 17:36:17.562325,1
2024-05-24 17:36:17.582791,1
2024-05-24 17:36:17.604406,1
2024-05-24 17:36:17.626383,0
2024-05-24 17:36:17.645645,0
2024-05-24 17:36:17.665574,0
2024-05-24 17:36:17.687922,0
2024-05-24 17:36:17.707513,0
2024-05-24 17:36:17.729515,0
2024-05-24 17:36:17.761784,0
2024-05-24 17:36:17.782763,0
2024-05-24 17:36:17.804548,0
2024-05-24 17:36:17.824839,0
2024-05-24 17:36:17.845319,0
2024-05-24 17:36:17.866371,0
2024-05-24 17:36:17.887841,1
2024-05-24 17:36:17.909835,1
2024-05-24 17:36:17.930298,1
2024-05-24 17:36:17.950597,1
2024-05-24 17:36:17.971764,1
2024-05-24 17:36:17.993192,1
2024-05-24 17:36:18.013410,1
2024-05-24 17:36:18.034488,1
2024-05-24 17:36:18.056236,1
2024-05-24 17:36:18.083325,1
2024-05-24 17:36:18.105649,1
2024-05-24 17:36:18.131691,1
2024-05-24 17:36:18.160114,1
2024-05-24 17:36:18.186647,0
2024-05-24 17:36:18.207145,0
2024-05-24 17:36:18.229528,0
2024-05-24 17:36:18.254399,0
2024-05-24 17:36:18.278090,0
2024-05-24 17:36:18.298837,0
2024-05-24 17:36:18.327176,0
2024-05-24 17:36:18.352234,0
2024-05-24 17:36:18.382407,0
2024-05-24 17:36:18.403936,0
2024-05-24 17:36:18.431607,0
2024-05-24 17:36:18.451192,0
2024-05-24 17:36:18.471835,1
2024-05-24 17:36:18.490870,1
2024-05-24 17:36:18.512717,1
2024-05-24 17:36:18.535771,1
2024-05-24 17:36:18.562168,1
2024-05-24 17:36:18.583222,1
2024-05-24 17:36:18.604294,1
2024-05-24 17:36:18.624788,1
2024-05-24 17:36:18.652005,1
2024-05-24 17:36:18.674103,1
2024-05-24 17:36:18.701952,1
2024-05-24 17:36:18.728345,1
2024-05-24 17:36:18.750270,1
2024-05-24 17:36:18.778053,0
2024-05-24 17:36:18.806906,0
2024-05-24 17:36:18.831501,0
2024-05-24 17:36:18.852980,0
2024-05-24 17:36:18.872899,0
2024-05-24 17:36:18.895933,0
2024-05-24 17:36:18.922675,0
2024-05-24 17:36:18.945021,0
2024-05-24 17:36:18.972031,0
2024-05-24 17:36:18.999955,0
2024-05-24 17:36:19.026666,0
2024-05-24 17:36:19.047971,0
2024-05-24 17:36:19.069295,1
